"question","answer"
"Как зарегистрироваться в сервисе?","Нажмите кнопку «Регистрация», укажите электронную почту, придумайте пароль и подтвердите адрес по ссылке из письма."
"Как восстановить забытый пароль?","На странице входа нажмите «Забыли пароль?», укажите электронную почту и следуйте инструкции из полученного письма."
"Как изменить адрес электронной почты?","Откройте настройки профиля, выберите раздел «Безопасность», укажите новый адрес и подтвердите его по ссылке из письма."
"Почему мне не приходит письмо с подтверждением?","Проверьте папки «Спам» и «Рассылки», убедитесь в правильности адреса и запросите повторную отправку письма через несколько минут."
"Как включить двухфакторную аутентификацию?","Перейдите в настройки безопасности, включите двухфакторную аутентификацию и добавьте аккаунт в приложение для генерации одноразовых кодов."
"Как удалить свою учётную запись?","Откройте настройки профиля, выберите «Удалить аккаунт» и подтвердите действие. Восстановить удалённые данные будет невозможно."
"Что делать, если аккаунт заблокирован?","Обратитесь в службу поддержки и укажите электронную почту аккаунта. Специалист сообщит причину блокировки и порядок восстановления доступа."
"Как связаться со службой поддержки?","Отправьте обращение через форму обратной связи в разделе «Помощь». Ответ поступит на электронную почту, указанную в профиле."
"В какое время работает служба поддержки?","Служба поддержки принимает обращения круглосуточно. Обычно ответ предоставляется в течение одного рабочего дня."
"Как отключить уведомления?","Перейдите в настройки уведомлений и отключите ненужные категории. Системные сообщения, связанные с безопасностью аккаунта, отключить нельзя."
"Как изменить язык интерфейса?","Откройте настройки профиля, найдите пункт «Язык» и выберите нужный вариант. Изменения применятся сразу после сохранения."
"Есть ли мобильное приложение?","Да, мобильное приложение доступно для Android и iOS. Ссылки на официальные магазины размещены на странице загрузки."
"Как изменить способ оплаты?","Откройте раздел «Оплата», добавьте новую банковскую карту и выберите её основной. Старую карту после этого можно удалить."
"Почему не проходит оплата банковской картой?","Проверьте срок действия карты, баланс и правильность реквизитов. Если данные верны, обратитесь в банк или попробуйте другой способ оплаты."
"Где скачать чек об оплате?","Откройте историю платежей, выберите нужную операцию и нажмите «Скачать чек». Копия чека также отправляется на электронную почту."
"Как отменить платную подписку?","Перейдите в раздел «Подписка» и нажмите «Отключить продление». Доступ сохранится до окончания уже оплаченного периода."
"Можно ли вернуть деньги за подписку?","Возврат рассматривается службой поддержки в соответствии с условиями использования. Укажите номер платежа и причину обращения."
"Как применить промокод?","Введите промокод в специальное поле на странице оформления подписки до проведения оплаты и нажмите «Применить»."
"Как изменить адрес доставки?","Адрес можно изменить в деталях заказа до передачи заказа в службу доставки. После отправки обратитесь в поддержку."
"Как отследить статус доставки?","Откройте раздел «Мои заказы» и выберите нужный заказ. Там отображаются текущий статус и номер для отслеживания отправления."
